,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,World,"657,473,311","+60,972","6,671,196",+42,"631,311,089","+87,704","19,491,026","38,134","84,348",855.9,
1,1,USA,"101,752,474",,"1,112,965                                ",,"98,825,188",,"1,814,321","4,179","303,915","3,324"
2,2,India,"44,677,054",,"530,667                                ",,"44,141,501",,"4,886",698,"31,762",377
3,3,France,"38,854,428",,"160,359                                ",,"37,516,940",,"1,177,129",869,"592,433","2,445"
4,4,Germany,"36,980,882",,"159,884                                ",,"36,229,900",,"591,098","1,406","440,860","1,906"
5,5,Brazil,"35,902,425",,"691,830                                ",,"34,542,868",,"667,727","8,318","166,714","3,213"
6,6,S. Korea,"28,188,293","+58,862","31,395                                ",+42,"27,067,381","+67,360","1,089,517",520,"549,159",612
7,7,Japan,"26,980,236",,"53,087                                ",,"20,910,905",,"6,016,244",482,"214,837",423
8,8,Italy,"24,884,034",,"183,138                                ",,"24,215,242",,"485,654",321,"412,925","3,039"
9,9,UK,"24,089,042",,"198,271                                ",,"23,794,739",,"96,032",146,"351,676","2,895"
10,10,Russia,"21,708,852",,"392,949                                ",,"21,103,330",,"212,573","2,300","148,889","2,695"
11,11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186"
12,12,Spain,"13,651,239",,"116,658                                ",,"13,444,388",,"90,193",339,"292,198","2,497"
13,13,Vietnam,"11,522,750",,"43,179                                ",,"10,610,217",,"869,354",40,"116,446",436
14,14,Australia,"10,969,578",,"16,692                                ",,"10,546,102",,"406,784",93,"420,793",640
15,15,Argentina,"9,766,975",,"130,041                                ",,"9,593,883",,"43,051",248,"212,278","2,826"
16,16,Taiwan,"8,562,931",,"14,860                                ",,"8,252,852",,"295,219",,"358,453",622
17,17,Netherlands,"8,556,131",,"22,942                                ",,"8,510,349",+879,"22,840",27,"497,119","1,333"
18,18,Iran,"7,560,389",,"144,661                                ",,"7,335,683",,"80,045",70,"87,888","1,682"
19,19,Mexico,"7,174,464",,"330,743                                ",,"6,424,005",,"419,716","4,798","54,533","2,514"
20,20,Indonesia,"6,708,737",,"160,384                                ",,"6,517,469",,"30,884","2,771","24,034",575
21,21,Poland,"6,361,464",,"118,429                                ",,"5,335,940",,"907,095","1,530","168,561","3,138"
22,22,Colombia,"6,330,409",,"141,996                                ",,"6,150,571",,"37,842",342,"122,890","2,757"
23,23,Austria,"5,644,634",,"21,316                                ",,"5,570,775",,"52,543",47,"622,567","2,351"
24,24,Portugal,"5,551,364",,"25,643                                ",,"5,511,075",+548,"14,646",61,"547,441","2,529"
25,25,Greece,"5,500,737",,"34,614                                ",,"5,421,520","+7,434","44,603",115,"533,191","3,355"
26,26,Ukraine,"5,350,380",,"110,696                                ",,"5,228,449",+713,"11,235",,"123,874","2,563"
27,27,Malaysia,"5,017,016",,"36,800                                ",,"4,964,167",,"16,049",56,"151,201","1,109"
28,28,Chile,"4,979,633",,"62,850                                ",,"4,905,302",,"11,481",120,"258,680","3,265"
29,30,Israel,"4,747,423",,"11,954                                ",,"4,722,844",,"12,625",57,"509,052","1,282"
30,31,Thailand,"4,715,489",,"33,392                                ",,"4,649,509",,"32,588","1,496","67,289",476
31,32,Belgium,"4,658,298",,"33,155                                ",,"4,594,031","+1,087","31,112",58,"399,228","2,841"
32,33,Czechia,"4,572,726",,"42,005                                ",,"4,521,414",,"9,307",45,"425,893","3,912"
33,34,Canada,"4,440,839",,"48,353                                ",,"4,339,915","+2,240","52,571",99,"115,682","1,260"
34,35,Peru,"4,405,843",,"217,821                                ",,"4,082,755",,"105,267",125,"130,798","6,467"
35,36,Switzerland,"4,351,857",,"14,353                                ",,"4,271,714","+3,624","65,790",76,"496,015","1,636"
36,37,Philippines,"4,055,396",,"65,034                                ",,"3,972,100",,"18,262",162,"36,045",578
37,38,South Africa,"4,046,603",,"102,568                                ",,"3,912,506",,"31,529",192,"66,604","1,688"
38,39,Romania,"3,301,662",,"67,310                                ",,"3,229,524",,"4,828",98,"173,486","3,537"
39,40,Denmark,"3,157,132",,"7,635                                ",,"3,141,090",,"8,407",16,"541,073","1,308"
40,41,Sweden,"2,651,702",,"21,332                                ",,"2,602,101",+644,"28,269",29,"259,488","2,087"
41,42,Iraq,"2,464,375",,"25,366                                ",,"2,437,963",,"1,046",21,"58,446",602
42,43,Serbia,"2,434,277",,"17,465                                ",,"2,405,348",,"11,464",14,"281,321","2,018"
43,44,Hong Kong,"2,338,897",,"11,131                                ",,"1,962,775",,"364,991",33,"307,576","1,464"
44,45,Singapore,"2,188,511",,"1,709                                ",,"2,113,353",,"73,449",4,"368,216",288
45,46,Hungary,"2,176,249",,"48,380                                ",,"2,114,134",,"13,735",24,"226,545","5,036"
46,47,Bangladesh,"2,036,911",,"29,438                                ",,"1,986,730",,"20,743","1,331","12,133",175
47,48,New Zealand,"2,019,685",,"3,371                                ",,"1,977,388",,"38,926",,"412,332",688
48,49,Slovakia,"1,857,901",,"20,781                                ",,"1,835,549",,"1,571",23,"340,263","3,806"
49,50,Georgia,"1,808,085",,"16,895                                ",,"1,776,548",,"14,642",,"455,582","4,257"
50,51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371"
51,52,Ireland,"1,684,717",,"8,270                                ",,"1,669,869",+180,"6,578",9,"335,588","1,647"
52,53,Pakistan,"1,575,585",+13,"30,635                                ",,"1,538,689",,"6,261",29,"6,866",133
53,54,Norway,"1,472,199",,"4,571                                ",,"1,464,662",,"2,966",20,"267,120",829
54,55,Finland,"1,428,446",,"7,783                                ",,"1,389,216","+1,854","31,447",21,"257,148","1,401"
55,56,Kazakhstan,"1,399,948",,"13,694                                ",,"1,383,020",,"3,234",24,"72,895",713
56,57,Bulgaria,"1,290,140",,"38,081                                ",,"1,247,634",,"4,425",30,"188,490","5,564"
57,58,Slovenia,"1,287,781",,"6,966                                ",,"1,254,625",,"26,190",23,"619,711","3,352"
58,59,Lithuania,"1,283,322",,"9,454                                ",,"1,265,457",,"8,411",7,"482,142","3,552"
59,60,Morocco,"1,270,782",,"16,294                                ",,"1,253,615",,873,293,"33,643",431
60,61,Croatia,"1,259,113",,"17,447                                ",,"1,238,919",,"2,747",15,"310,181","4,298"
61,62,Lebanon,"1,221,640",,"10,742                                ",,"1,087,587",,"123,311",74,"182,748","1,607"
62,63,Guatemala,"1,182,292",,"19,977                                ",,"1,139,912",,"22,403",5,"63,619","1,075"
63,64,Costa Rica,"1,152,466",,"9,051                                ",,"860,711",,"282,704",52,"222,383","1,747"
64,65,Tunisia,"1,147,282",,"29,272                                ",,N/A,N/A,N/A,44,"95,237","2,430"
65,66,Bolivia,"1,130,165",,"22,266                                ",,"1,082,631",,"25,268",220,"94,238","1,857"
66,67,Cuba,"1,111,647",,"8,530                                ",,"1,102,968",,149,23,"98,327",754
67,68,UAE,"1,046,086",,"2,348                                ",,"1,027,339",,"16,399",,"103,760",233
68,69,Ecuador,"1,024,914",,"35,940                                ",,"975,192",,"13,782",759,"56,583","1,984"
69,70,Panama,"1,015,970",,"8,543                                ",,"998,085",,"9,342",16,"228,464","1,921"
70,71,Mongolia,"1,007,025",,"2,179                                ",,"991,193",,"13,653",192,"298,106",645
71,72,Nepal,"1,000,945",,"12,019                                ",,"988,911",,15,,"33,116",398
72,73,Uruguay,"998,047",,"7,548                                ",,"988,310",,"2,189",18,"285,481","2,159"
73,74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755
74,75,Latvia,"970,286",,"6,121                                ",,"950,319",,"13,846",3,"524,809","3,311"
75,76,Saudi Arabia,"826,478",,"9,494                                ",,"813,992",,"2,992",42,"23,057",265
76,77,Azerbaijan,"825,337",,"9,993                                ",,"814,801",,543,,"80,128",970
77,78,Paraguay,"781,111",,"19,655                                ",,N/A,N/A,N/A,7,"106,916","2,690"
78,79,Bahrain,"697,758",,"1,539                                ",,"695,661",,558,2,"391,124",863
79,80,Sri Lanka,"671,808",,"16,814                                ",,"654,968",,26,,"31,137",779
80,81,Kuwait,"662,747",,"2,570                                ",,"660,095",,82,,"151,301",587
81,82,Dominican Republic,"650,990",,"4,384                                ",,"644,785",,"1,821",4,"58,879",397
82,83,Myanmar,"633,551",,"19,488                                ",,"608,112",,"5,951",,"11,472",353
83,84,Cyprus,"625,562",,"1,250                                ",,"612,987",,"11,325",60,"511,336","1,022"
