country_code,total_cases,total_deaths,active_cases,death_permillion
ABW,43693,236,1019,2193
AFG,206743,7843,14563,192
AGO,104808,1925,345,55
AIA,3904,12,13,788
ALB,333567,3593,1606,1254
AND,47446,158,336,2040
ARG,9766975,130041,43051,2826
ARM,445881,8712,2109,2931
ATG,9106,146,6,1467
AUS,10870760,16492,308164,633
AUT,5622037,21272,47312,2346
AZE,824943,9989,370,970
BDI,51018,38,342,3
BEL,4654473,33133,30525,2840
BEN,27980,163,71,13
BFA,21631,387,101,18
BGD,2036825,29437,20902,175
BGR,1289474,38072,4577,5562
BHR,697520,1537,675,862
BHS,37491,833,292,2080
BIH,400722,16217,5979,4991
BLR,994037,7118,1327,755
BLZ,69376,688,221,1669
BMU,18519,152,24,2454
BRA,35714251,691174,543045,3209
BRB,104944,568,1941,1972
BTN,62521,21,936,27
BWA,327061,2793,521,1144
CAN,4440839,48353,61529,1260
CHE,4335513,14343,62888,1635
CHL,4963204,62749,17439,3260
CHN,369919,5235,35274,4
CMR,123993,1965,3412,70
COG,25375,386,983,67
COK,6389,1,4,57
COL,6323357,141943,35947,2755
COM,8977,161,17,177
CPV,63144,412,93,726
CRI,1152466,9051,282704,1747
CUB,1111569,8530,136,754
CYM,31359,36,22770,535
CYP,622101,1242,12078,1015
CZE,4568993,41971,8898,3909
DEU,36860998,159364,535134,1900
DJI,15690,189,74,186
DMA,15760,74,13,1023
DNK,3155298,7608,8282,1304
DOM,650990,4384,1821,397
DZA,271149,6881,81668,152
ECU,1024914,35940,14956,1984
EGY,515645,24613,48850,232
ESP,13632635,116422,93608,2492
EST,609769,2799,81980,2117
ETH,495420,7572,13741,63
FIN,1417909,7572,26607,1363
FJI,68451,878,1049,965
FRA,38612758,160008,1120624,2440
GAB,48973,306,50,131
GEO,1807654,16888,14218,4255
GHA,171023,1461,9,45
GIB,20207,110,3518,3264
GIN,38153,464,471,33
GLP,198608,997,-1,2494
GMB,12586,372,25,145
GNB,8848,176,30,85
GNQ,17184,183,121,122
GRC,5448700,34482,18862,3342
GRD,19613,237,18,2089
GRL,11971,21,9189,369
GTM,1174448,19966,16646,1074
GUF,97097,411,85432,1308
GUY,71757,1285,221,1618
HKG,2275447,11021,322554,1449
HND,460714,11054,-1,1081
HRV,1257412,17427,2305,4293
HTI,33874,860,99,74
HUN,2171056,48337,13084,5032
IDN,6702132,160287,35838,574
IMN,38008,116,-1,1353
IND,44676370,530658,5118,377
IRL,1680548,8159,3632,1625
IRQ,2464375,25366,1046,602
ISL,207771,229,-1,663
ISR,4741241,11920,13565,1278
ITA,24709404,182419,523075,3027
JAM,152517,3399,49726,1139
JOR,1746997,14122,1868,1371
JPN,26309154,52043,5401942,414
KAZ,1398965,13694,2251,713
KEN,342155,5684,439,101
KGZ,206553,2991,7156,445
KHM,138302,3056,116,178
KIR,3430,13,714,105
KNA,6552,46,24,854
KWT,662747,2570,82,587
LBN,1221273,10741,122945,1607
LBR,8037,294,23,55
LBY,507112,6437,35,914
LCA,29550,404,51,2182
LIE,21124,88,89,2292
LKA,671770,16809,48,779
LSO,34490,706,7804,324
LTU,1280625,9442,7021,3547
LUX,297757,1133,7633,1764
LVA,968527,6108,12100,3304
MAC,1040,6,233,9
MAR,1270318,16289,878,431
MCO,15784,63,116,1584
MDG,67621,1414,367,48
MDV,185651,311,21653,575
MEX,7164602,330695,416508,2514
MHL,15547,17,140,283
MKD,345197,9599,133,4612
MLI,32764,743,78,35
MLT,116000,809,605,1822
MMR,633475,19488,5989,353
MNE,284176,2790,341,4443
MNG,993997,2179,1363,645
MOZ,230816,2229,121,67
MRT,63425,997,5,203
MSR,1403,8,19,1611
MTQ,224468,1071,-1,2863
MUS,41272,1036,714,813
MWI,88220,2685,470,133
MYS,5012483,36778,17547,1108
MYT,41853,187,-1,653
NAM,169946,4080,40,1549
NCL,78244,314,1670,1079
NER,9931,312,729,12
NGA,266381,3155,3467,15
NIC,18491,225,14041,33
NLD,8553219,22939,23456,1333
NOR,1471342,4498,2869,816
NPL,1000941,12019,17,398
NRU,4621,1,11,92
NZL,2019685,3371,38926,688
OMN,399119,4260,10190,800
PAK,1575501,30635,6177,133
PAN,1015970,8543,9342,1921
PER,4362281,217679,109898,6462
PHL,4050866,64921,18016,577
PLW,5933,9,177,494
PNG,46457,669,1806,72
POL,6358786,118389,904457,3137
PRT,5549479,25584,14483,2523
PRY,778895,19646,-1,2689
PYF,77704,649,-1,2284
QAT,485064,685,1639,230
ROU,3301662,67310,4828,3537
RWA,132811,1467,232,108
SAU,826312,9487,3050,265
SDN,63663,4992,535,109
SEN,88887,1968,32,111
SGP,2183605,1708,73349,287
SLB,24575,153,-1,212
SLE,7760,126,-1,15
SLV,201785,4230,18145,646
SMR,22615,120,229,3521
SOM,27300,1361,12757,81
SRB,2431472,17449,10671,2017
SSD,18352,138,99,12
SUR,81581,1393,-1,2334
SVK,1857373,20770,1546,3804
SVN,1279297,6955,24406,3347
SWE,2640369,21202,19449,2075
SWZ,73908,1422,94,1200
SYC,50068,171,291,1720
TCD,7648,194,2580,11
TGO,39337,290,6,33
THA,4715489,33392,32588,476
TJK,17786,125,397,13
TLS,23375,138,135,101
TON,16182,12,532,111
TTO,185708,4271,216,3036
TUN,1147282,29272,-1,2430
TUR,17042722,101492,-1,1186
UGA,169810,3630,65749,75
UKR,5346094,110640,9801,2562
URY,998047,7548,2189,2159
UZB,248268,1637,5145,48
VUT,11952,14,1,44
WLF,761,7,316,637
WSM,15967,29,14333,143
YEM,11945,2159,662,69
ZAF,4045472,102550,30416,1688
ZMB,333746,4019,37,206
ZWE,259356,5622,673,367
