country_code,crime_index,unemployment
AGO,65.740000,34.000000
ALB,39.860000,12.500000
ARE,15.450000,2.640000
ARG,62.260000,13.100000
ARM,22.690000,17.500000
AUS,41.670000,6.900000
AUT,24.430000,8.700000
AZE,32.120000,4.800000
BEL,45.290000,5.200000
BGD,63.820000,4.200000
BGR,38.550000,7.200000
BLR,25.020000,0.200000
BRA,68.310000,14.400000
BWA,53.470000,18.200000
CAN,40.640000,8.900000
CHE,21.580000,3.200000
CHL,49.600000,12.300000
CHN,31.180000,5.400000
COL,54.940000,15.770000
CRI,55.590000,22.000000
CYP,31.570000,8.000000
DEU,35.140000,4.500000
DNK,26.090000,4.800000
DOM,61.040000,3.200000
DZA,50.410000,11.400000
ECU,52.660000,4.900000
EGY,46.650000,9.600000
ESP,32.330000,16.260000
EST,23.560000,7.100000
ETH,49.230000,19.100000
FIN,25.530000,7.600000
FJI,59.570000,4.200000
FRA,47.370000,9.000000
GEO,20.500000,12.700000
GHA,48.640000,6.800000
GRC,41.300000,16.800000
GTM,58.590000,2.000000
GUY,68.150000,11.900000
HND,76.650000,5.700000
HRV,24.670000,8.800000
HUN,35.230000,4.400000
IDN,46.060000,7.070000
IND,44.420000,7.000000
IRL,45.680000,7.300000
IRQ,48.000000,7.900000
ISL,23.700000,4.900000
ISR,30.440000,4.700000
ITA,44.240000,9.600000
JAM,67.200000,12.600000
JOR,40.830000,23.000000
JPN,21.670000,3.000000
KAZ,54.810000,5.000000
KEN,61.730000,10.400000
LBN,44.070000,6.200000
LKA,40.230000,5.400000
LTU,33.880000,14.900000
LUX,32.750000,6.300000
LVA,37.430000,8.600000
MAR,48.970000,12.700000
MDV,54.610000,6.400000
MEX,53.310000,5.100000
MLT,39.370000,4.400000
MNE,41.560000,18.560000
MNG,57.470000,8.100000
MUS,46.410000,12.200000
MYS,58.550000,4.600000
NAM,66.120000,33.400000
NGA,63.270000,27.100000
NIC,45.540000,4.800000
NLD,27.150000,4.400000
NOR,34.620000,5.300000
NPL,35.610000,3.200000
PAK,44.180000,4.100000
PAN,46.200000,7.100000
PER,65.650000,16.500000
PHL,42.220000,10.000000
PNG,80.040000,2.400000
POL,33.130000,6.100000
PRT,29.830000,7.800000
PRY,49.600000,5.700000
ROU,27.820000,5.200000
RWA,22.040000,16.000000
SLV,67.840000,6.300000
SRB,37.730000,7.300000
SVK,29.810000,7.400000
SVN,20.950000,9.100000
SWE,47.430000,8.300000
THA,40.010000,1.900000
TUN,41.680000,18.000000
TUR,39.500000,13.200000
UGA,56.140000,1.800000
UKR,48.840000,9.900000
URY,53.020000,10.800000
UZB,28.620000,5.500000
ZAF,77.290000,23.300000
ZMB,43.220000,13.200000
ZWE,58.860000,4.900000
