country_code,year_2020,year_2021
AGO,53619071176,72546985709
ALB,15131866271,18260043500
AND,2891001149,3329910724
ARG,389591000000,491493000000
ARM,12641209802,13861183874
ATG,1370281481,1471125926
AUS,1327840000000,1542660000000
AUT,433258000000,477082000000
AZE,42693000000,54622176471
BDI,2780510625,2902029386
BEL,521677000000,599879000000
BEN,15651545332,17785640079
BFA,17933606353,19737615114
BGD,373902000000,416265000000
BGR,69889347433,80271119426
BHR,34723357447,38868663032
BHS,9699500000,11208600000
BIH,19955120005,22571512867
BLR,61489588895,68218816484
BLZ,1585631670,1789923264
BMU,6881662000,7080900000
BOL,36629843806,40408208524
BRA,1448570000000,1608980000000
BRB,4689534962,4900800000
BRN,12005825770,14006569576
BWA,14930072799,17613846473
CAF,2326720921,2516498299
CAN,1645420000000,1990760000000
CHE,752248000000,812867000000
CHL,252727000000,317059000000
CHN,14687700000000,17734100000000
CIV,61348579465,69764827467
CMR,40804449726,45238613480
COG,10483151094,12523961677
COL,270300000000,314322000000
COM,1223876065,1327964249
CPV,1703698677,1936174043
CRI,62158002233,64282438667
CYP,24692095945,27719337670
CZE,245339000000,282341000000
DEU,3846410000000,4223120000000
DJI,3181071154,3371102124
DMA,504214815,545618519
DNK,356085000000,397104000000
DOM,78844702329,94243453937
DZA,145009000000,167983000000
ECU,99291124000,106166000000
EGY,365253000000,404143000000
ESP,1281480000000,1425280000000
EST,30650285472,36262924354
ETH,107658000000,111271000000
FIN,271837000000,299155000000
FJI,4574413823,4592118710
FRA,2630320000000,2937470000000
FSM,407515928,404178050
GAB,15316824039,18269350434
GBR,2756900000000,3186860000000
GEO,15842922533,18700241392
GHA,70043199814,77594279055
GIN,14169626010,15850520384
GMB,1830413000,2078070684
GNB,1431758243,1638517533
GNQ,10099157270,12269392789
GRC,188835000000,216241000000
GRD,1043411111,1122083185
GTM,77604632621,85986321551
GUY,5471256595,7409179921
HKG,344881000000,368139000000
HND,23827840810,28488668302
HRV,57203783203,67837788544
HTI,14508218017,20944392615
HUN,156743000000,182281000000
IDN,1058690000000,1186090000000
IND,2667690000000,3173400000000
IRL,425889000000,498560000000
IRQ,184370000000,207889000000
ISL,21718075725,25458933916
ISR,407101000000,481591000000
ITA,1892570000000,2099880000000
JAM,13812425037,13638230996
JOR,43697659296,45243661972
JPN,5040110000000,4937420000000
KAZ,171082000000,190814000000
KEN,100667000000,110347000000
KGZ,7780874537,8543423503
KHM,25872798012,26961061120
KNA,980905889,976150667
LAO,18981800705,18827148530
LBN,25948915861,18076624840
LBR,3039982540,3486741370
LBY,52320215472,41879579677
LCA,1616772748,1764901133
LKA,80969683537,84518830393
LSO,2250717718,2518468891
LTU,56546957475,65503849705
LUX,73353132794,86710803337
LVA,33645460617,38872546229
MAC,25586111076,29905190182
MAR,114725000000,132725000000
MDG,13225591804,14637400396
MDV,3742769967,4889666932
MEX,1087120000000,1293040000000
MHL,244462400,248665600
MKD,12116981815,13879269152
MLI,17465392779,19143741503
MLT,14917038504,17189730470
MMR,78930257227,65067808985
MNE,4780722122,5809170962
MNG,13312981595,15098022829
MOZ,14028811072,16095828897
MRT,7915985514,8227580740
MUS,10926820603,11156657770
MWI,12172128470,12626718074
MYS,337006000000,372701000000
NAM,10562637376,12236250784
NER,13741378450,14950949875
NGA,432294000000,440777000000
NIC,12586941393,14013022092
NLD,913865000000,1018010000000
NOR,362198000000,482437000000
NPL,33433670512,36288830373
NRU,114626626,133218897
NZL,211735000000,249992000000
OMN,73971391417,85868626528
PAK,300306000000,346343000000
PAN,53977037000,63605065800
PER,201705000000,223249000000
PHL,361751000000,394086000000
PNG,24667052023,26594277246
POL,596624000000,674048000000
PRT,228539000000,249886000000
PRY,35432178068,38986810989
QAT,144411000000,179571000000
ROU,249511000000,284088000000
RUS,1488320000000,1775800000000
RWA,10184345442,11070356519
SAU,703368000000,833541000000
SDN,26987563444,34326058557
SEN,24493157583,27625388352
SGP,345296000000,396987000000
SLB,1545888426,1645213882
SLE,4063289450,4200380124
SLV,24638720000,28736940000
SOM,6965285325,7292721820
SRB,53335016425,63068134601
STP,472914470,547092915
SUR,2884248048,2862131980
SVK,105173000000,114871000000
SVN,53589609581,61526331889
SWE,541487000000,627438000000
SWZ,3984840580,4941373182
SYC,1200634489,1320053793
TCA,924583000,943269768
TCD,10715396135,11779980802
TGO,7574636979,8413200568
THA,499682000000,505982000000
TJK,8133996648,8746270636
TLS,1902156800,1959134744
TTO,21392536138,21391802311
TUN,42514151614,46840042941
TUR,719955000000,815272000000
TUV,55054711,63100962
UGA,37600368181,40434701517
UKR,156618000000,200086000000
URY,53560755047,59319547636
USA,20893700000000,22996100000000
UZB,59894305353,69238903106
VCT,872134547,889775243
VNM,343243000000,362638000000
VUT,896827873,983469257
WSM,807147528,788389972
YEM,18840511908,21061691630
ZAF,335442000000,419946000000
ZMB,18110631358,21203059080
ZWE,18051170799,26217726717
