country_code,freedom,happiness_score
AFG,0.382000,2.523000
ALB,0.785000,5.117000
ARE,0.932000,6.561000
ARG,0.828000,5.929000
ARM,0.825000,5.283000
AUS,0.914000,7.183000
AUT,0.908000,7.268000
AZE,0.814000,5.171000
BDI,0.626000,3.775000
BEL,0.783000,6.834000
BEN,0.757000,5.045000
BFA,0.695000,4.834000
BGD,0.877000,5.025000
BGR,0.788000,5.266000
BHR,0.925000,6.647000
BIH,0.706000,5.813000
BLR,0.650000,5.534000
BRA,0.804000,6.330000
BWA,0.824000,3.467000
CAN,0.915000,7.103000
CHE,0.919000,7.571000
CHL,0.742000,6.172000
CHN,0.904000,5.339000
CMR,0.731000,5.142000
COL,0.837000,6.012000
COM,0.548000,4.289000
CRI,0.934000,7.069000
CYP,0.763000,6.223000
DEU,0.875000,7.155000
DNK,0.946000,7.620000
DOM,0.860000,5.545000
DZA,0.480000,4.887000
ECU,0.842000,5.764000
EGY,0.749000,4.283000
ESP,0.761000,6.491000
EST,0.909000,6.189000
ETH,0.752000,4.275000
FIN,0.949000,7.842000
FRA,0.822000,6.690000
GAB,0.731000,4.852000
GEO,0.783000,4.891000
GHA,0.807000,5.088000
GIN,0.697000,4.984000
GMB,0.697000,5.051000
GRC,0.582000,5.723000
GTM,0.906000,6.435000
HND,0.857000,5.919000
HRV,0.754000,5.882000
HTI,0.593000,3.615000
HUN,0.755000,5.992000
IDN,0.873000,5.345000
IND,0.893000,3.819000
IRL,0.879000,7.085000
IRQ,0.630000,4.854000
ISL,0.955000,7.554000
ISR,0.800000,7.157000
ITA,0.693000,6.483000
JAM,0.890000,6.309000
JOR,0.755000,4.395000
JPN,0.796000,5.940000
KAZ,0.853000,6.152000
KEN,0.779000,4.607000
KGZ,0.935000,5.744000
KHM,0.959000,4.830000
KWT,0.867000,6.106000
LBN,0.525000,4.584000
LBR,0.735000,4.625000
LBY,0.771000,5.410000
LKA,0.841000,4.325000
LSO,0.715000,3.512000
LTU,0.773000,6.255000
LUX,0.907000,7.324000
LVA,0.715000,6.032000
MAR,0.774000,4.918000
MDG,0.552000,4.208000
MDV,0.854000,5.198000
MEX,0.862000,6.317000
MKD,0.751000,5.101000
MLI,0.697000,4.723000
MLT,0.927000,6.602000
MMR,0.876000,4.426000
MNE,0.708000,5.581000
MNG,0.708000,5.677000
MOZ,0.882000,4.794000
MRT,0.561000,4.227000
MUS,0.867000,6.049000
MWI,0.780000,3.600000
MYS,0.895000,5.384000
NAM,0.719000,4.574000
NER,0.806000,5.074000
NGA,0.737000,4.759000
NIC,0.836000,5.972000
NLD,0.913000,7.464000
NOR,0.960000,7.392000
NPL,0.782000,5.269000
NZL,0.929000,7.277000
PAK,0.726000,4.934000
PAN,0.872000,6.180000
PER,0.822000,5.840000
PHL,0.917000,5.880000
POL,0.841000,6.166000
PRT,0.892000,5.929000
PRY,0.876000,5.653000
ROU,0.845000,6.140000
RWA,0.897000,3.415000
SAU,0.877000,6.494000
SEN,0.695000,5.132000
SGP,0.927000,6.377000
SLE,0.717000,3.849000
SLV,0.888000,6.061000
SRB,0.778000,6.078000
SVK,0.766000,6.331000
SVN,0.949000,6.461000
SWE,0.945000,7.363000
TCD,0.579000,4.355000
TGO,0.619000,4.107000
THA,0.884000,5.985000
TJK,0.832000,5.466000
TKM,0.877000,5.066000
TUN,0.656000,4.596000
TUR,0.576000,4.948000
UGA,0.709000,4.636000
UKR,0.724000,4.875000
URY,0.896000,6.431000
UZB,0.970000,6.179000
YEM,0.602000,3.658000
ZAF,0.749000,4.956000
ZMB,0.782000,4.073000
ZWE,0.677000,3.145000
