country_code,income_person,internet_rate
AGO,1381.0042680000,9.9999538830
ALB,1914.9965510000,44.9899469600
AND,21943.3399000000,81.0000000000
ARE,21087.3941200000,77.9967811500
ARG,10749.4192400000,36.0003349500
ARM,1326.7417570000,44.0010245800
ATG,11894.4640700000,80.6454545500
AUS,25249.9860600000,75.8956538000
AUT,26692.9841100000,72.7315755400
AZE,2344.8969160000,46.6797015700
BDI,115.3059959000,2.1002127060
BEL,24496.0482600000,73.7339344700
BEN,377.0396995000,3.1299618030
BFA,276.2004130000,1.4000607000
BGD,558.0628766000,3.7000032600
BGR,2549.5584740000,45.9865899100
BHR,12505.2125400000,54.9928090300
BHS,19630.5405500000,42.9845801700
BIH,2183.3448670000,52.0020606400
BLR,2737.6703790000,32.0521439100
BLZ,3545.6521740000,12.6457333300
BMU,62682.1470100000,84.6545140900
BRA,4699.4112620000,40.6500980000
BRB,9243.5870530000,70.0285992700
BTN,1324.1949060000,13.5988760300
BWA,4189.4365870000,5.9998355750
CAN,25575.3526200000,81.3383926900
CHE,37662.7512500000,82.1666598800
CHL,6334.1051940000,45.0000000000
CHN,2425.4712930000,34.3777895200
CMR,713.6393027000,3.9999773460
COL,3233.4237800000,36.4998746400
COM,336.3687495000,5.0982653060
CRI,5188.9009350000,36.4991147200
CUB,4495.0462620000,15.8999703400
CYP,15313.8593500000,53.0247448300
DEU,25306.1871900000,82.5268979100
DJI,895.3183396000,6.4979235100
DMA,6147.7796100000,47.2804360300
DNK,30532.2770400000,88.7702538700
DZA,2231.9933350000,12.5000733100
ECU,1728.0209760000,28.9994767400
EGY,1975.5519060000,26.7400253800
ERI,131.7962070000,5.3996669970
ESP,15461.7583700000,65.8085536700
EST,6238.5375060000,74.1630403000
ETH,220.8912479000,0.7499958500
FIN,27110.7315900000,86.8988445100
FJI,2230.6763740000,14.8307358800
FRA,22878.4665700000,77.4986193500
GAB,4180.7658210000,7.2322242460
GEO,1258.7625960000,26.2972514800
GHA,358.9795398000,9.5499307010
GIN,411.5014473000,0.9999589260
GMB,354.5997263000,9.1967754770
GNB,161.3171371000,2.4503622440
GNQ,8654.5368450000,6.0034371430
GRC,13577.8798900000,44.5700744400
GRD,5330.4016120000,33.6166828800
GRL,20751.8934200000,63.8491527200
GTM,1860.7538950000,10.4999481900
GUY,1200.6520750000,29.8799214600
HND,1392.4118290000,11.0907646300
HRV,6338.4946680000,60.1197070200
HTI,371.4241975000,8.3702068840
HUN,5634.0039480000,65.1632509200
IDN,1143.8315140000,9.9000386720
IND,786.7000981000,7.4999958780
IRL,27595.0913500000,69.7703944100
IRQ,736.2680538000,2.4719483470
ISL,33945.3144200000,95.6381132100
ISR,22275.7516600000,65.3877859400
ITA,18982.2692900000,53.7402166000
JAM,3665.3483690000,26.4772232400
JOR,2534.0003800000,38.8812015900
JPN,39309.4788600000,77.6385351500
