country_code,data_year,literacy_rate,population
ABW,2015,97.524200,106445
AFG,2015,38.168000,41128771
AGO,2015,71.164200,35588987
AIA,1984,95.000000,15857
ALB,2015,97.553900,2842321
AND,2011,100.000000,79824
ARE,2015,92.986400,9441129
ARG,2015,98.090000,45510318
ARM,2015,99.768400,2780469
ASM,1980,97.344200,44273
ATG,2014,98.950000,93763
AUS,2003,99.000000,26177413
AUT,2011,98.000000,8939617
AZE,2015,99.805300,10358074
BDI,2015,85.496100,12889576
BEL,2003,99.000000,11655930
BEN,2015,38.447100,13352864
BFA,2015,37.746700,22673762
BGD,2015,61.493800,171186372
BGR,2015,98.388600,6781953
BHR,2015,95.717300,1472233
BHS,2003,95.600000,409984
BIH,2015,98.485800,3233526
BLR,2015,99.722000,9534954
BLZ,2015,82.776800,405272
BMU,2005,98.000000,64184
BRA,2015,92.586800,215313498
BRB,2002,99.700000,281635
BTN,2015,63.906800,782455
BWA,2015,88.224400,2630296
CAF,2015,36.752600,5579144
CAN,2003,99.000000,38454327
CHE,2003,99.000000,8740472
CHL,2015,96.627500,19603733
CHN,2015,96.357500,1425887337
CMR,2015,74.985600,27914536
COK,2011,95.000000,17011
COL,2015,94.577100,51874024
COM,2015,78.137400,836774
CRI,2015,97.647200,5180829
CUB,2015,99.710700,11212191
CYM,2007,98.867800,68706
CYP,2015,99.059800,1251488
DEU,2003,99.000000,83369843
DJI,2003,67.900000,1120849
DMA,2003,94.000000,72737
DNK,2003,99.000000,5882261
DOM,2015,92.465400,11228821
DZA,2015,79.608400,44903225
ECU,2015,94.515500,18001000
EGY,2015,75.842600,110990103
ERI,2015,73.845300,3684032
ESP,2015,98.114500,47558630
EST,2015,99.823500,1326062
ETH,2015,49.031500,123379924
FIN,2000,100.000000,5540745
FJI,2003,93.700000,929766
FRA,2003,99.000000,64626628
GAB,2015,83.237900,2388992
GEO,2015,99.759600,3744385
GHA,2015,76.575900,33475870
GIB,2011,80.000000,32649
GIN,2015,30.472800,13859341
GMB,2015,55.572800,2705992
GNB,2015,59.772800,2105566
GNQ,2015,95.195700,1674908
GRC,2015,95.292900,10384971
GRD,2003,96.000000,125438
GRL,2001,100.000000,56466
GTM,2015,79.074200,17843908
GUM,2015,99.789000,171774
GUY,2015,87.535300,808726
HKG,2002,93.500000,7488865
HND,2015,88.424600,10432860
HRV,2015,99.272600,4030358
HTI,2015,60.689300,11584996
HUN,2015,99.380900,9967308
