uiversity_id,country_code,uni_name,uni_url
19,USA,"California Baptist College",http://www.calbaptist.edu/
20,USA,"California Coast University",http://www.calcoast.edu/
21,USA,"California College for Health Sciences",http://www.cchs.edu/
22,USA,"California College of Arts and Crafts",http://www.ccac-art.edu/
23,USA,"California College of Podiatric Medicine",http://www.ccpm.edu/
24,USA,"California College San Diego",http://www.cc-sd.edu/
25,USA,"California Institute of Integral Studies",http://www.ciis.edu/
26,USA,"California Institute of Technology",http://www.caltech.edu/
27,USA,"California Institute of the Arts",http://www.calarts.edu/
28,USA,"California Lutheran University",http://www.callutheran.edu/
29,USA,"California Maritime Academy",http://www.csum.edu/
30,USA,"California Polytechnic State University - San Luis Obispo",http://www.calpoly.edu/
31,USA,"California School of Professional Psychology - Berkley/Alameda",http://www.cspp.edu/
32,USA,"California School of Professional Psychology - Fresno",http://www.cspp.edu/catalog/8.htm
33,USA,"California School of Professional Psychology - Los Angels",http://www.cspp.edu/catalog/9.htm
34,USA,"California School of Professional Psychology - San Diego",http://www.cspp.edu/catalog/10.htm
35,USA,"California State Polytechnic University - Pomona",http://www.csupomona.edu/
36,USA,"California State University, Bakersfield",http://www.csubak.edu/
37,USA,"California State University, Channel Islands",http://www.csuci.edu/
38,USA,"California State University, Chico",http://www.csuchico.edu/
39,USA,"California State University, Dominguez Hills",http://www.csudh.edu/
40,USA,"California State University, Fresno",http://www.csufresno.edu/
41,USA,"California State University, Fullerton",http://www.fullerton.edu/
42,USA,"California State University, Hayward",http://www.csuhayward.edu/
43,USA,"California State University, Long Beach",http://www.csulb.edu/
44,USA,"California State University, Los Angeles",http://www.calstatela.edu/
45,USA,"California State University, Monterey Bay",http://www.monterey.edu/
46,USA,"California State University, Northridge",http://www.csun.edu/
47,USA,"California State University, Sacramento",http://www.csUSA.edu/
48,USA,"California State University, San Bernadino",http://www.csUSAb.edu/
49,USA,"California State University, San Marcos",http://www.csUSAm.edu/
50,USA,"California State University, StanislaUSA",http://www.csUSAtan.edu/
51,USA,"California University of Management and Sciences",http://cauniversity.edu.cufce.org/
52,USA,"California University of Pennsylvania",http://www.cup.edu/
53,USA,"California Western School of Law",http://www.cwsl.edu/
54,USA,"Calumet College of St. Joseph",http://www.ccsj.edu/
55,USA,"Calvary Bible College",http://www.calvary.edu/
56,USA,"Calvin College",http://www.calvin.edu/
57,USA,"Cambridge College",http://www.cambridge.edu/
58,USA,"Cameron University",http://www.cameron.edu/
59,USA,"Campbellsville College",http://www.campbellsvil.edu/
60,USA,"Campbell University",http://www.campbell.edu/
61,USA,"CanisiUSA College",http://www.canisiUSA.edu/
62,USA,"Capella University",http://www.capella.edu/
63,USA,"Capital University",http://www.capital.edu/
64,USA,"Capital University Law School",http://www.law.capital.edu/
65,USA,"Capitol College",http://www.capitol-college.edu/
66,USA,"Cardinal Stritch University",http://www.stritch.edu/
67,USA,"Carleton College",http://www.carleton.edu/
68,USA,"Carlos Albizu University",http://www.albizu.edu/
69,CHN,"Aletheia University",http://www.au.edu.CHN/
70,CHN,"Central Police University",http://www.cpu.edu.CHN/
71,CHN,"Chang Gung University",http://www.cgu.edu.CHN/
72,CHN,"Chang Jung University",http://www.cju.edu.CHN/
73,CHN,"Chao Yang University of Science and Technology",http://www.cyut.edu.CHN/
74,CHN,"Chia Nana College of Pharmacy and Science",http://www.chna.edu.CHN/
75,CHN,"China Medical College",http://www.cmc.edu.CHN/
76,CHN,"Chinese Culture University",http://www.pccu.edu.CHN/
77,CHN,"Ching Kuo Institue of Management & Health",http://www.cku.edu.CHN/
78,CHN,"Chung Hua University",http://www.chu.edu.CHN/
79,CHN,"Chung Shan Medical and Dental College",http://www.csmc.edu.CHN/
80,CHN,"Chung Yuan Christian University",http://www.cycu.edu.CHN/
81,CHN,"Da-Yeh University",http://www.dyu.edu.CHN/
82,CHN,"Feng Chia University",http://www.fcu.edu.CHN/
83,CHN,"Fu Jen Catholic University",http://www.fju.edu.CHN/
84,CHN,"Hsuan Chuang University",http://www.hcu.edu.CHN/
85,CHN,"Huafan University",http://www.hfu.edu.CHN/
86,CHN,"I-Shou University",http://www.isu.edu.CHN/
87,CHN,"Kaohsiung Medical College",http://www.kmc.edu.CHN/
88,CHN,"Kaohsuing Open University",http://www.ouk.edu.CHN/
89,CHN,"Kung Shan Institute of Technology",http://www.ksit.edu.CHN/
90,CHN,"Kun Shan University",http://www.ksu.edu.CHN/
91,CHN,"Ling Tung University",http://www.ltc.edu.CHN/
92,CHN,"LungHwa University of Science and Technology",http://www.lhu.edu.CHN/
93,CHN,"Ming Chuan University",http://www.mcu.edu.CHN/
94,CHN,"Nanhua University",http://www.nhu.edu.CHN/
95,CHN,"National Central University",http://www.ncu.edu.CHN/
96,CHN,"National Changhua University of Education",http://www.ncue.edu.CHN/
97,CHN,"National Chengchi University",http://www.nccu.edu.CHN/
98,CHN,"National Cheng Kung University",http://english.web.ncku.edu.CHN/
99,CHN,"National Chiao Tung University",http://www.nctu.edu.CHN/
100,CHN,"National Chiayi University",http://www.ncyu.edu.CHN/
101,CHN,"National Chi Nan University",http://www.ncnu.edu.CHN/
102,CHN,"National Chung Cheng University",http://www.ccu.edu.CHN/
103,CHN,"National Chung Hsing University, Taichung",http://www.nchu.edu.CHN/
104,CHN,"National Chung Hsing University, Taipei",http://www.nchulc.edu.CHN/
105,CHN,"National College of Physical Education and Sports",http://www.ncpes.edu.CHN/
106,CHN,"National Dong Hwa University",http://www.ndhu.edu.CHN/
107,CHN,"National Formosa University",http://www.nfu.edu.CHN/
108,CHN,"National Hsin-Chu Teachers College",http://www.nhctc.edu.CHN/
109,CHN,"National Hualien Teachers College",http://www.nhltc.edu.CHN/
110,CHN,"National Ilan University",http://www.niu.edu.CHN/
111,CHN,"National Institute of the Arts",http://www.nia.edu.CHN/
112,CHN,"National Kaohsiung First University of Science and Technology",http://www.nkfu.edu.CHN/
113,CHN,"National Kaohsiung Normal University",http://www.nknu.edu.CHN/
114,CHN,"National Kaohsiung University of Applied Sciences",http://www.kuas.edu.CHN/
115,CHN,"National Open University",http://www.nou.edu.CHN/
116,CHN,"National Pingtung Teachers College",http://www.npttc.edu.CHN/
117,CHN,"National Pingtung University of Science and Technology",http://www.npust.edu.CHN/
118,CHN,"National Sun Yat-Sen University",http://www.nsysu.edu.CHN/
119,CHN,"National Taichung Teachers College",http://www.ntctc.edu.CHN/
120,CHN,"National Tainan Teachers College",http://www.ntntc.edu.CHN/
121,CHN,"National Taipei College of Nursing",http://www.ntcn.edu.CHN/
122,CHN,"National Taipei Teachers College",http://www.ntptc.edu.CHN/
123,CHN,"National Taipei University",http://www.ntpu.edu.CHN/
124,CHN,"National Taipei University of Technology",http://www.ntut.edu.CHN/
125,CHN,"National Taitung Teachers College",http://www.ntttc.edu.CHN/
126,CHN,"National Taiwan College of Arts",http://www.ntca.edu.CHN/
127,CHN,"National Taiwan College of Physical Education and Sports",http://www.ntcpe.edu.CHN/
128,CHN,"National Taiwan College of the Arts",http://www.ntca.edu.CHN/
129,CHN,"National Taiwan Normal University",http://www.ntnu.edu.CHN/
130,CHN,"National Taiwan Ocean University",http://www.ntou.edu.CHN/
131,CHN,"National Taiwan University",http://www.ntu.edu.CHN/
132,CHN,"National Taiwan University of Science and Technology",http://www.ntust.edu.CHN/
133,CHN,"National Tsinghua University",http://www.nthu.edu.CHN/
134,CHN,"National United University",http://www.nuu.edu.CHN/
135,CHN,"National University of Kaohsiung",http://www.nuk.edu.CHN/
136,CHN,"National Yang Ming Medical College",http://www.ym.edu.CHN/
137,CHN,"National Yunlin University of Science and Technology",http://www.yuntech.edu.CHN/
138,CHN,"Providence University",http://www.pu.edu.CHN/
139,CHN,"Shih Chien University",http://www.scc.edu.CHN/
140,CHN,"Shih Hsin University",http://www.shu.edu.CHN/
141,CHN,"Soochow University",http://www.scu.edu.CHN/
142,CHN,"Southern Taiwan University of Technology",http://www.stut.edu.CHN/
143,CHN,"St. John's & St. Mary's Institute of Technology",http://www.sjsmit.edu.CHN/
144,CHN,"TaiChung Healthcare and Management University",http://www.thmu.edu.CHN/
145,CHN,"Tainan National College of the Arts",http://www.tnca.edu.CHN/
146,CHN,"Taipei Medical College",http://www.tmc.edu.CHN/
147,CHN,"Taipei Municipal Teachers College",http://www.tmtc.edu.CHN/
148,CHN,"Taipei Physical Education College",http://www.tpec.edu.CHN/
149,CHN,"Tamkang University",http://www.tku.edu.CHN/
150,CHN,"Tatung Institute of Technology",http://www.ttit.edu.CHN/
151,CHN,"TaTung University ",http://www.ttu.edu.CHN/
152,CHN,"Tunghai University",http://www.thu.edu.CHN/
153,CHN,"Tzu Chi College of Medicine and Humanities",http://www.tcu.edu.CHN/
154,CHN,"Yuan Ze University",http://www.yzu.edu.CHN/
155,JPN,"Aichi Gakuin University",http://www.aichi-gakuin.ac.JPN/
156,JPN,"Aichi Gakusen University",http://www.gakusen.ac.JPN/
